Word,fq_No,prob_no,fq_Yes,prob_yes,fq_total
BcommanderTH,0,3.16475E-06,13,3.73316E-05,13
Bdb,0,3.16475E-06,43,0.000117328,43
bE,25,8.22834E-05,19,5.33309E-05,44
Bench,0,3.16475E-06,15,4.26647E-05,15
BenchaFWP,0,3.16475E-06,15,4.26647E-05,15
Best,19,6.32949E-05,0,2.66655E-06,19
bimun,25,8.22834E-05,0,2.66655E-06,25
Birthday,12,4.11417E-05,0,2.66655E-06,12
bkk,11,3.7977E-05,0,2.66655E-06,11
Black,12,4.11417E-05,0,2.66655E-06,12
BLACKPINK,19,6.32949E-05,0,2.66655E-06,19
Blocker,10,3.48122E-05,0,2.66655E-06,10
BNK,39,0.00012659,0,2.66655E-06,39
bO,16,5.38007E-05,0,2.66655E-06,16
bodindecha,0,3.16475E-06,24,6.66636E-05,24
bonnadol,10,3.48122E-05,0,2.66655E-06,10
boworn,0,3.16475E-06,213,0.000570641,213
Bowz,0,3.16475E-06,43,0.000117328,43
BPAw,0,3.16475E-06,27,7.46633E-05,27
Br,10,3.48122E-05,0,2.66655E-06,10
BREAKING,0,3.16475E-06,12,3.46651E-05,12
Breath,42,0.000136084,0,2.66655E-06,42
BreathLastPiece,40,0.000129755,0,2.66655E-06,40
BreathofLove,39,0.00012659,0,2.66655E-06,39
bright,17,5.69655E-05,0,2.66655E-06,17
BrightTodayTh,0,3.16475E-06,14,3.99982E-05,14
BrightWinManilaLIVE,213,0.000677256,0,2.66655E-06,213
BS,10,3.48122E-05,0,2.66655E-06,10
BTS,121,0.000386099,70,0.000189325,191
by,32,0.000104437,19,5.33309E-05,51
bz,11,3.7977E-05,0,2.66655E-06,11
C,181,0.000575984,210,0.000562641,391
Ca,10,3.48122E-05,0,2.66655E-06,10
Cafe,35,0.000113931,0,2.66655E-06,35
Call,0,3.16475E-06,21,5.8664E-05,21
cb,11,3.7977E-05,0,2.66655E-06,11
cc,38,0.000123425,0,2.66655E-06,38
CD,0,3.16475E-06,20,5.59975E-05,20
CDKY,0,3.16475E-06,15,4.26647E-05,15
Center,0,3.16475E-06,21,5.8664E-05,21
CF,13,4.43065E-05,0,2.66655E-06,13
CGM,46,0.000148743,0,2.66655E-06,46
CH,21,6.96244E-05,25,6.93302E-05,46
chad,0,3.16475E-06,30,8.26629E-05,30
ChangeThailand,0,3.16475E-06,17,4.79978E-05,17
chernorris,0,3.16475E-06,16,4.53313E-05,16
chiangmai,11,3.7977E-05,0,2.66655E-06,11
Ck,18,6.01302E-05,0,2.66655E-06,18
ClCmHl,0,3.16475E-06,10,2.9332E-05,10
cm,16,5.38007E-05,0,2.66655E-06,16
CNX,21,6.96244E-05,0,2.66655E-06,21
co,8302,0.026276896,4835,0.012895415,13137
